,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
A.C.S. COLLEGE OF ENGINEERING,GM,,43924,,,,,,,,37949,,,,,,,,,,,,,
,GM,,45354,,,51148,,23896,46784,,15901,,,33268,50404,,,24294,,45847,45366,,,
ACHARYA INSTITUTE OF TECHNOLOGY,HKR,,41149,,,,,,,,51279,,,54067,,,,,,,,,,
ALLIANCE COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
DESIGN. ALLIANCE UNIVERSITY,GM,,,,39832,,,,37735,,53593,,,48398,,,,,51745,30112,,,,
ALPHA COLLEGE OF ENGINEERING,GM,,,,,,,,,,38432,,,,,,,,,39376,,,,
ALVA'S INSTITUTE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,,,,,,,,,,,,,,,,,55644,,,,,,
AMC ENGINEERING COLLEGE,GM,,,,,,,,,,54599,,,,,,,,,54762,,,,
APPA INSTITUTE OF ENGINEERING AND,GM,,,,,,,,,,49043,,,,,,,,,,,,,
TECHNOLOGY,HKR,,,,,,,,,,52195,,,,,,,,,,,,,
ATME COLLEGE OF ENGINEERING,GM,,,,,,,,,,,,,,,,,,,54625,,,,
ATRIA INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,46263,,,54584,,,,42942,,42637,,,,
B G S INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,23606,,,,,,,,,,,,,
,GM,,,,,,,,,,7719,,,14858,54228,,,9912,,33977,,,,
B.N.M. INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,,,29280,,,36207,,,,36416,,,,,,
BANGALORE COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,,,,,,,,,,45454,,,,,,,,,34473,,,,
,GM,,,,,,,,24664,,2791,,,5320,7647,20031,48843,3421,,9843,,,,14719
BANGALORE INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,42923,,16281,,,22059,46295,,,20271,,45256,,,,
BAPUJI INSTITUTE OF ENGINEERING AND,GM,,,,,,,,52379,45173,34211,,,55019,36580,,,53983,,48578,,,,
TECHNOLOGY,HKR,,,,,,,,53013,,46982,,,,,,,,,36411,,,,
,GM,,,,,48203,,,51404,,48067,,,46571,,,,55611,,,,,,
BASAVESHWAR ENGINEERING COLLEGE,HKR,,,,,,,,41956,,34977,,,,,,,,,,,,,
,GM,,,,,,,10536,5732,11074,913,,,1509,,3954,,1188,,2787,,13058,,5108
BMS COLLEGE OF ENGINEERING,HKR,,,,,,,27001,18935,38646,4167,,,6472,,29628,,5424,,15085,,38941,,25156
,GM,,,,,,,,41243,,4580,,,7569,13416,,,5640,,17121,,,,30356
BMS INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,,,23335,,,32799,,,,27092,,,,,,
BRINDAVAN COLLEGE OF ENGINEERING,GM,,,,,,,,10220,,55317,,,,,,,,,,,,,
CAMBRIDGE INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,26380,,,48316,,,,42110,,,,,,
CHANNABASAVESHWARA INSTITUTE OF,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,,,,,,,,33343,,31965,,,38661,,,,40206,,,,,,
CHRIST UNIVERSITY FACULTY OF,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING,GM,,,,,43832,,,45855,,25208,,,29118,42707,,,,41420,48762,,,,
CITY ENGINEERING COLLEGE,GM,,,,,,,,,,46076,,,55111,,,,,,,,,,
,GM,,,,,,,,52046,,9846,,,22939,46584,,,12771,,54091,,,,42673
CMR INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,,,46389,,,30732,,,,,,,,,,
CMR UNIVERSITY,GM,,,,,,,,,,38401,,,,,,,41349,,,,,,
DAYANANDA SAGAR ACADEMY OF,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY AND MANAGEMENT,GM,,,,,,,,35658,,14328,,,53014,48515,,,26433,,55480,,,,
,GM,,15774,,,28849,,28183,31474,49416,4233,,50335,8332,19080,40991,54508,5834,,19127,,37497,,52007
DAYANANDA SAGAR COLLEGE OF,HKR,,,,,,,,30483,,13561,,,23220,41343,,,33651,,46823,,,,
ENGINEERING,SC,,,,,,,,,,26523,,,41953,,,,,,,,,,
,,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
DAYANANDA SAGAR UNIVERSITY,,GM,,,,,,,,,,48166,47225,,51611,,,,,,55236,,,,
DON BOSCO INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,,,43868,,,29403,,,,51892,,36927,,,,
,,GM,,,,,,,,51475,,16273,,,25447,,,,25322,,48142,,39749,,
DR. AMBEDKAR INSTITUTE OF TECHNOLOGY,,HKR,,,,,,,,,,40629,,,40057,,,,28885,,,,,,
Dr. T. THIMMAIAH INSTITUTE OF,,,,,,,,,,,,,,,,,,,,,,,,,
